CompanyName,CompanyCode,Department,Unit,Location,OU
,AVI,Flight Operations,Flight Operations,Cebu,"OU=Cebu,OU=AEV Aviation,DC=aboitizgroup,DC=net"
,AVI,Flight Operations,Flight Operations,Taguig,"OU=Taguig,OU=AEV Aviation,DC=aboitizgroup,DC=net"
,ACGI,,,,"OU=ACGI,DC=aboitizgroup,DC=net"
,ACGI/ACI,Executive Office,Executive Office,,"OU=Executives,OU=ACGI,DC=aboitizgroup,DC=net"
,AEV,Office of the Chief Finance Officer,"Finance, Accounting and Business Support",Cebu,"OU=Accounting Department,OU=Cebu,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Office of the Chief Finance Officer,"Finance, Accounting and Business Support",Taguig,"OU=Accounting Department,OU=Taguig,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Office of the Chief Finance Officer,"Finance, Accounting and Business Support",Davao,"OU=Accounting Department,OU=Davao,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,AEV Gen,AEV Gen,Cebu,"OU=Executive Office,OU=Cebu,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,AEV Gen,AEV Gen,Taguig,"OU=Executive Office,OU=Taguig,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Office of the Group President,AEV Gen / Family Council,Cebu,"OU=Executive Office,OU=Cebu,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Office of the Group President,AEV Gen / Family Council,Taguig,"OU=Executive Office,OU=Taguig,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Corporate Services Unit,Risk Management,Cebu,"OU=Risk Management Office,OU=Cebu,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Corporate Services Unit,Risk Management,Taguig,"OU=Risk Management Office,OU=Taguig,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Corporate Services Unit,Information Technology,Cebu,"OU=Information Technology,OU=Cebu,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Corporate Services Unit,Information Technology,Taguig,"OU=Information Technology,OU=Taguig,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Office of the Group President,Office of the Group President,Cebu,"OU=Executive Office,OU=Cebu,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Office of the Group President,Office of the Group President,Taguig,"OU=Executive Office,OU=Taguig,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Corporate External Affairs,Reputation Management,Cebu,"OU=Reputation Management Office,OU=Cebu,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Corporate External Affairs,Reputation Management,Taguig,"OU=Reputation Management Office,OU=Taguig,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Corporate Services Unit,Risk Management,Cebu,"OU=Risk Management Office,OU=Cebu,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Corporate Services Unit,Risk Management,Taguig,"OU=Risk Management Office,OU=Taguig,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Corporate Services Unit,Information Technology,Cebu,"OU=Information Technology,OU=Cebu,OU=AEV,DC=aboitizgroup,DC=net"
,AEV,Corporate Services Unit,Information Technology,Taguig,"OU=Information Technology,OU=Taguig,OU=AEV,DC=aboitizgroup,DC=net"
